"","bam.SRR_76_ngm_sorted.bam"
"AAC67152-1",3493
"AAC67151-1",1504
"AAC67150-1",3333
"AAC67149-1",22473
"AAC67160-1",1412
"AAC67148-1",350
"AAC67159-1",399
"AAC67147-1",913
"AAC67146-1",2408
"AAC67158-1",1045
"AAC67145-1",774
"AAC67168-1",1015
"AAC67175-1",2792
"AAC67166-1",760
"AAC67165-1",522
"AAC67164-1",644
"AAC67174-1",348
"AAC67163-1",1706
"AAC67172-1",848
"AAC67171-1",1974
"AAC67170-1",2706
"AAC67169-1",80
"AAC67162-1",2312
"AAC67161-1",2334
"AAC67182-1",1559
"AAC67181-1",660
"AAC67180-1",4644
"AAC67183-1",1339
"AAC67179-1",4109
"AAC67178-1",1672
"AAC67177-1",310
"AAC67184-1",1547
"AAC67188-1",476
"AET25122-1",57
"AAC67187-1",142
"AAC67186-1",1521
"AAC67191-1",1607
"AAC67190-1",1327
"AAC67189-1",3325
"AAC67199-1",532
"AAC67192-1",472
"AAC66325-1",935
"AAC66334-1",824
"AAC66333-1",1464
"AAC66324-1",2370
"AAC66323-1",1441
"AAC66322-1",603
"AAC66321-1",968
"AAC66331-1",1723
"AAC66320-1",12650
"AAC66318-1",673
"AAC66317-1",174
"AAC66316-1",744
"AAC66315-1",7836
"AAC66314-1",5813
"AAC66313-1",9071
"AAC66329-1",37567
"AAC66328-1",11679
"AAC66327-1",5600
"AAC66339-1",563
"AAC66338-1",538
"AAC66337-1",665
"AAC66336-1",730
"AAC66335-1",1141
"AAC66326-1",25023
"AAF07429-1",1321
"AAF07430-1",345
"AAF07431-1",166
"AAF07432-1",130
"AAF07403-1",273
"AAF07404-1",80
"AAF07405-1",138
"AAF07406-1",113
"AAF07407-1",82
"AAF07434-1",255
"AAF07435-1",21
"AAF07436-1",33
"AAF07437-1",30
"AAF07438-1",263
"AAF07439-1",201
"AAF07440-1",617
"AAF07441-1",131
"AAF07408-1",369
"AAF07409-1",384
"AAF07410-1",185
"AAF07411-1",1126
"AAF07412-1",132
"AAF07413-1",287
"AAF07414-1",49
"AAF07415-1",121
"AAF07416-1",489
"AAF07417-1",502
"AAF07418-1",654
"AAF07419-1",1974
"AAF07420-1",187
"AAF07421-1",355
"AAF07422-1",128
"AAF07423-1",307
"AAF07424-1",535
"AAF07425-1",71
"AAF07426-1",165
"AAF07400-1",513
"AAF07401-1",1403
"AAF07427-1",170
"AAF07428-1",162
"AAF07402-1",410
"AAF07474-1",99
"AAF07475-1",18
"AAF07476-1",13
"AAF07477-1",78
"AAF07463-1",0
"AAF07464-1",14
"AAF07465-1",0
"AAF07466-1",4
"AAF07467-1",5
"AAF07479-1",0
"AAF07480-1",0
"AAF07481-1",0
"AAF07482-1",0
"AAF07483-1",41
"AAF07484-1",56
"AAF07485-1",4
"AAF07486-1",0
"AAF07468-1",3
"AAF07469-1",0
"AAF07442-1",3
"AAF07444-1",0
"AAF07445-1",0
"AAF07446-1",60
"AAF07447-1",137
"AAF07470-1",48
"AAF07448-1",2483
"AAF07449-1",1103
"AAF07450-1",493
"AAF07452-1",1553
"AAF07453-1",180
"AAF07454-1",140
"AAF07456-1",311
"AAF07457-1",392
"AAF07458-1",79
"AAF07459-1",64
"AAF07460-1",518
"AAF07461-1",115
"AAF07473-1",39
"AAF07462-1",205
"AAF07516-1",49
"AAF07517-1",77
"AAF07518-1",121
"AAF07519-1",124
"AAF07490-1",149
"AAF07491-1",34
"AAF07492-1",57
"AAF07493-1",119
"AAF07494-1",62
"AAF07520-1",195
"AAF07521-1",18
"AAF07522-1",38
"AAF07523-1",19
"AAF07524-1",160
"AAF07525-1",138
"AAF07526-1",1121
"AAF07527-1",160
"AAF07495-1",628
"AAF07496-1",592
"AAF07497-1",183
"AAF07498-1",480
"AAF07499-1",101
"AAF07500-1",0
"AAF07501-1",33
"AAF07502-1",130
"AAF07503-1",1439
"AAF07504-1",424
"AAF07505-1",658
"AAF07506-1",1314
"AAF07507-1",182
"AAF07508-1",224
"AAF07509-1",98
"AAF07510-1",518
"AAF07511-1",128
"AAF07512-1",106
"AAF07487-1",280
"AAF07488-1",175
"AAF07514-1",159
"AAF07515-1",471
"AAF07489-1",309
"AAF07561-1",45
"AAF07562-1",20
"AAF07563-1",32
"AAF07564-1",37
"AAF07565-1",18
"AAF07551-1",20
"AAF07552-1",23
"AAF07553-1",21
"AAF07554-1",37
"AAF07555-1",48
